City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
176,Kita,ML,2022-03-19 01:56:17,13.0349,-9.4895,80.83,19,7,4.61
177,Kununurra,AU,2022-03-19 01:51:53,-15.7667,128.7333,87.78,66,100,10.36
178,Miranda,CO,2022-03-19 01:56:18,3.2499,-76.2281,68.13,95,90,4.38
179,Usilampatti,IN,2022-03-19 01:56:18,9.9667,77.8,79.75,64,82,2.59
180,Ordzhonikidze,KZ,2022-03-19 01:56:18,52.4411,61.7408,-10.68,100,100,3.38
181,Srednekolymsk,RU,2022-03-19 01:56:19,67.45,153.6833,2.26,78,18,2.77
182,Vila Franca Do Campo,PT,2022-03-19 01:57:19,37.7167,-25.4333,50.41,75,52,18.23
183,Hebi,CN,2022-03-19 01:56:19,35.8992,114.1925,38.34,64,100,12.19
184,Montepuez,MZ,2022-03-19 01:57:19,-13.1256,38.9997,69.93,98,100,2.98
185,Faya,SA,2022-03-19 01:57:20,18.3851,42.4509,57.31,65,5,3.8
186,Lebu,CL,2022-03-19 01:57:20,-37.6167,-73.65,55.42,76,100,15.23
187,San Jeronimo,PE,2022-03-19 01:57:20,-11.9472,-75.2829,49.5,82,100,4.25
188,Manggar,ID,2022-03-19 01:57:21,-2.8833,108.2667,83.25,74,71,8.16
189,Oum Hadjer,TD,2022-03-19 01:57:21,13.2954,19.6966,72.12,9,95,9.89
190,Bijar,IR,2022-03-19 01:57:21,35.8668,47.6051,29.03,59,99,1.72
191,Mahebourg,MU,2022-03-19 01:57:22,-20.4081,57.7,77.25,94,20,2.3
192,Bathsheba,BB,2022-03-19 01:57:22,13.2167,-59.5167,79.41,73,20,24.16
193,Anadyr,RU,2022-03-19 01:57:23,64.75,177.4833,1.9,60,0,6.71
194,Teluknaga,ID,2022-03-19 01:57:23,-6.0989,106.6381,87.19,88,40,9.22
195,Mizdah,LY,2022-03-19 01:57:23,31.4451,12.9801,53.31,63,0,5.44
196,General Pico,AR,2022-03-19 01:53:03,-35.6566,-63.7568,55.76,47,7,6.71
197,Oelde,DE,2022-03-19 01:57:24,51.8167,8.15,43.38,77,0,7.65
198,Dvorichna,UA,2022-03-19 01:57:24,49.8496,37.6857,7.43,97,69,4.68
199,Pioner,RU,2022-03-19 01:57:24,55.3166,85.9508,15.24,85,100,6.71
200,Kahului,US,2022-03-19 01:57:25,20.8947,-156.47,81.97,87,43,11.01
201,Tura,IN,2022-03-19 01:57:25,25.5198,90.2201,79.88,35,36,4.41
202,Hobyo,SO,2022-03-19 01:57:25,5.3505,48.5268,77.9,76,26,11.65
203,Itupiranga,BR,2022-03-19 01:57:26,-5.1347,-49.3267,73.96,96,100,2.28
204,East London,ZA,2022-03-19 01:57:26,-33.0153,27.9116,70.36,87,100,9.84
205,Katobu,ID,2022-03-19 01:57:26,-4.9408,122.5276,85.23,68,100,4.0
206,Qaqortoq,GL,2022-03-19 01:57:27,60.7167,-46.0333,11.41,70,100,7.56
207,Yarada,IN,2022-03-19 01:57:27,17.65,83.2667,75.52,94,20,2.3
208,Nanortalik,GL,2022-03-19 01:57:27,60.1432,-45.2371,17.62,73,100,5.46
209,Palana,RU,2022-03-19 01:57:28,59.1167,159.9667,25.52,70,16,4.63
210,Tiksi,RU,2022-03-19 01:57:28,71.6872,128.8694,5.0,77,100,26.13
211,Asau,RO,2022-03-19 01:57:28,46.4333,26.4,16.72,77,38,3.83
212,Tual,ID,2022-03-19 01:57:29,-5.6667,132.75,84.31,69,32,2.28
213,Erenhot,CN,2022-03-19 01:57:29,43.6475,111.9767,26.98,30,100,6.29
214,Vardo,NO,2022-03-19 01:57:29,70.3705,31.1107,33.48,71,17,25.95
215,Kaiyuan,CN,2022-03-19 01:57:30,23.6977,103.3037,74.48,46,5,4.99
216,Saskylakh,RU,2022-03-19 01:57:30,71.9167,114.0833,12.96,94,100,11.3
217,Miles City,US,2022-03-19 01:56:45,46.4083,-105.8406,46.83,44,60,7.56
218,Te Anau,NZ,2022-03-19 01:57:31,-45.4167,167.7167,67.06,46,66,2.89
219,Kavieng,PG,2022-03-19 01:57:31,-2.5744,150.7967,86.16,62,15,13.76
220,Jasdan,IN,2022-03-19 01:57:31,22.0333,71.2,76.69,42,31,11.74
221,Hanna,CA,2022-03-19 01:57:32,51.6334,-111.9018,42.85,58,23,3.0
222,Liwale,TZ,2022-03-19 01:57:32,-9.7667,37.9333,68.43,97,100,2.26
223,Santa Isabel,BR,2022-03-19 01:57:32,-23.3156,-46.2214,79.56,90,91,1.72
224,Akyab,MM,2022-03-19 01:57:33,20.15,92.9,77.45,54,53,5.39
225,Dingle,PH,2022-03-19 01:57:33,10.9995,122.6711,88.12,61,100,8.77
226,Jimeta,NG,2022-03-19 01:57:33,9.2833,12.4667,76.71,13,34,2.3
227,Bom Sucesso,BR,2022-03-19 01:57:34,-21.0331,-44.7581,65.79,86,0,3.76
228,Tazovskiy,RU,2022-03-19 01:57:34,67.4667,78.7,25.23,93,100,17.4
229,Saint-Pierre,RE,2022-03-19 01:58:34,-21.3393,55.4781,76.68,84,0,6.91
230,Vila Velha,BR,2022-03-19 01:58:35,-20.3297,-40.2925,78.75,90,40,3.44
231,Tsiroanomandidy,MG,2022-03-19 01:58:35,-18.7667,46.0333,67.51,97,100,1.32
232,Coquimbo,CL,2022-03-19 01:58:35,-29.9533,-71.3436,60.53,94,0,1.14
233,Tautira,PF,2022-03-19 01:58:36,-17.7333,-149.15,81.73,70,1,11.32
234,Touros,BR,2022-03-19 01:58:36,-5.1989,-35.4608,79.2,78,93,9.1
235,Qasigiannguit,GL,2022-03-19 01:58:36,68.8193,-51.1922,0.23,96,100,9.51
236,Ilo,PE,2022-03-19 01:58:37,-17.6394,-71.3375,70.65,82,44,6.17
237,Mgandu,TZ,2022-03-19 01:58:37,-5.95,34.1333,58.6,95,77,3.69
238,Lar,IN,2022-03-19 01:58:37,26.2039,83.9717,81.03,29,6,3.06
239,Zhoucheng,CN,2022-03-19 01:58:38,35.9122,116.3117,35.65,67,99,11.05
240,Esperance,AU,2022-03-19 01:58:38,-33.8667,121.9,73.24,81,100,21.23
241,Sumbe,AO,2022-03-19 01:58:38,-11.2061,13.8437,76.39,82,18,9.4
242,Graz,AT,2022-03-19 01:54:56,47.0667,15.45,40.05,72,6,1.14
243,Mukhen,RU,2022-03-19 01:58:39,48.1,136.1,20.64,74,100,5.86
244,Beni Suef,EG,2022-03-19 01:58:39,29.0731,31.0979,50.31,76,0,11.43
245,Safaga,EG,2022-03-19 01:58:39,26.7292,33.9365,62.58,45,0,17.67
246,Aksarka,RU,2022-03-19 01:58:40,66.5606,67.7975,21.6,88,18,15.55
247,Kostino,RU,2022-03-19 01:58:40,58.9097,53.2691,24.39,96,100,5.59
248,Mount Pleasant,US,2022-03-19 01:55:51,32.7941,-79.8626,64.54,89,100,5.01
249,Pisco,PE,2022-03-19 01:58:41,-13.7,-76.2167,69.85,78,0,10.36
