City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Kodinsk,RU,58.6881,99.1844,11.59,99,98,3.47,overcast clouds
185,Castro,BR,-24.7911,-50.0119,72.68,84,5,10.69,light rain
186,Slave Lake,CA,55.2834,-114.769,37.38,65,0,16.11,clear sky
187,Malakwal,PK,32.5536,73.2123,70.83,34,0,2.84,clear sky
188,Nikolskoye,RU,59.7035,30.7861,37.71,99,100,2.51,overcast clouds
189,Ahipara,NZ,-35.1667,173.1667,64.76,80,100,17.34,overcast clouds
190,Vila Do Maio,CV,15.1333,-23.2167,75.99,75,0,18.97,clear sky
191,Vestmannaeyjar,IS,63.4427,-20.2734,41.99,81,75,6.91,broken clouds
192,Paamiut,GL,61.994,-49.6678,21.61,71,0,6.17,clear sky
193,Itarema,BR,-2.9248,-39.9167,82.83,74,33,11.07,light rain
194,La Ronge,CA,55.1001,-105.2842,26.85,86,100,19.57,snow
195,Caraquet,CA,47.7941,-64.9386,30.74,83,100,6.22,overcast clouds
196,Xuddur,SO,4.1213,43.8894,81.66,56,100,8.63,overcast clouds
197,Kitgum,UG,3.2783,32.8867,71.13,62,33,4.47,light rain
198,Nadym,RU,65.5333,72.5167,6.94,94,100,10.09,overcast clouds
199,Boa Vista,BR,2.8197,-60.6733,91.38,52,75,10.36,broken clouds
200,Honiara,SB,-9.4333,159.95,75.83,86,92,2.48,overcast clouds
201,Chernyshevskiy,RU,63.0128,112.4714,9.19,96,100,5.46,light snow
202,Charlottetown,CA,46.2352,-63.1267,39.2,54,75,4.61,broken clouds
203,Chinsali,ZM,-10.5414,32.0816,63.63,97,70,4.88,broken clouds
204,Maridi,SS,4.9158,29.4742,82.78,31,86,4.21,overcast clouds
205,Kirovsk,UA,48.6375,38.6428,37.4,54,0,6.08,clear sky
206,Lagdo,CM,9.05,13.7333,89.11,13,16,5.21,few clouds
207,Mount Gambier,AU,-37.8333,140.7667,53.51,94,100,5.75,overcast clouds
208,Bardiyah,LY,31.7561,25.0865,53.73,59,5,9.91,clear sky
209,Takoradi,GH,4.8845,-1.7554,82.02,79,89,8.5,overcast clouds
210,Krasnyy Chikoy,RU,50.3643,108.7512,9.19,98,100,1.59,overcast clouds
211,Khatanga,RU,71.9667,102.5,-3.69,99,100,5.5,overcast clouds
212,Roald,NO,62.5833,6.1333,50.09,76,75,19.57,light rain
213,Mar Del Plata,AR,-38.0023,-57.5575,69.82,79,75,14.97,light rain
214,Natal,BR,-5.795,-35.2094,82.62,83,75,10.36,broken clouds
215,Chokurdakh,RU,70.6333,147.9167,-14.03,100,90,2.06,overcast clouds
216,Khash,IR,28.2211,61.2158,63.52,23,0,5.01,clear sky
217,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,0,5.75,clear sky
218,Thompson,CA,55.7435,-97.8558,41.16,52,100,5.75,overcast clouds
219,Nguru,NG,12.8791,10.4526,85.05,13,100,10.38,overcast clouds
220,Uige,AO,-7.6087,15.0613,67.51,97,99,4.05,light rain
221,San Cristobal,VE,7.7669,-72.225,78.98,37,23,5.12,few clouds
222,Colorado Springs,US,38.8339,-104.8214,63.34,23,75,21.85,broken clouds
223,Santiago,CL,-33.4569,-70.6483,83.28,21,0,10.36,clear sky
224,Nishihara,JP,26.1842,127.7558,67.68,68,100,16.11,overcast clouds
225,Abu Dhabi,AE,24.4667,54.3667,82.51,45,0,3.44,clear sky
226,Nabari,JP,34.6167,136.0833,43.02,80,7,1.74,clear sky
227,Kruisfontein,ZA,-34.0033,24.7314,66.88,82,0,14.63,clear sky
