City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
372,Camana,PE,71.38,overcast clouds,-16.6228,-72.7111,Hostal Morales
374,Half Moon Bay,US,71.82,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
376,Amahai,ID,77.29,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
377,Ahuimanu,US,76.35,few clouds,21.4447,-157.8378,Paradise Bay Resort
378,Angoram,PG,72.82,overcast clouds,-4.0625,144.0661,
380,Valdivia,CL,67.05,clear sky,-39.8142,-73.2459,Hostal Entre Rios
382,Port Shepstone,ZA,72.86,few clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
383,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
385,Namatanai,PG,79.47,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
386,Ojinaga,MX,73.42,clear sky,29.5667,-104.4167,Suites Las Palmas
389,Dhuburi,IN,74.05,clear sky,26.0333,89.9667,Hotel Samrat
390,Bandarbeyla,SO,77.67,scattered clouds,9.4942,50.8122,JABIR HOTEL
396,Coquimbo,CL,68.36,clear sky,-29.9533,-71.3436,Hotel San Juan
398,Buraydah,SA,70.25,clear sky,26.326,43.975,Mövenpick Qassim
400,Taitung,TW,70.75,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
401,Makakilo City,US,75.18,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
404,Kant,IN,76.08,clear sky,27.8,79.8,Haseeb Khan shatreng
406,Simbahan,PH,82.09,broken clouds,6.3032,120.5836,
407,Bogo,PH,78.3,broken clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
409,Pimentel,PE,80.89,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
410,Karratha,AU,84.45,few clouds,-20.7377,116.8463,ibis Styles Karratha
413,Katherine,AU,77.29,overcast clouds,-14.4667,132.2667,Pine Tree Motel
415,Tecoanapa,MX,83.91,broken clouds,16.5167,-98.75,Hotel Manglares
416,Maxixe,MZ,76.84,clear sky,-23.8597,35.3472,Oceano
417,Rio Cuarto,AR,69.67,few clouds,-33.1307,-64.3499,Hotel Menossi
419,Poum,NC,78.58,light rain,-20.2333,164.0167,
420,Meulaboh,ID,77.09,light rain,4.1363,96.1285,Kost Pria
422,Dzaoudzi,YT,82.29,scattered clouds,-12.7887,45.2699,Le Rocher
428,Maragogi,BR,81.48,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
431,Mahendragarh,IN,75.7,clear sky,28.2833,76.15,Yadav Dharamshala
432,Mont-Dore,NC,80.01,overcast clouds,-22.2833,166.5833,GIte
435,Mount Isa,AU,81.09,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
436,Cap Malheureux,MU,77.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
440,Kalakamati,BW,74.93,overcast clouds,-20.5929,27.3121,
441,Soe,ID,65.66,overcast clouds,-9.8607,124.284,Dena Hotel
442,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
443,Ihosy,MG,71.1,broken clouds,-22.4,46.1167,Hotely Sariaka
444,Machhiwara,IN,70.81,clear sky,30.9147,76.1983,Kashmiri Lal Anand And Sons
447,San Jose,US,77.92,clear sky,37.3394,-121.895,The Westin San Jose
453,Sa Kaeo,TH,80.38,overcast clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
454,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
457,Mbanza-Ngungu,CD,73.83,clear sky,-5.25,14.8667,Hotel Full Business
459,Belmonte,BR,81.23,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
461,Ulladulla,AU,65.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
462,Akyab,MM,77.67,broken clouds,20.15,92.9,Hotel Memory
463,Pathein,MM,74.46,clear sky,16.7833,94.7333,Pathein Hotel
464,Beloha,MG,75.07,scattered clouds,-25.1667,45.05,
466,Richards Bay,ZA,73.08,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
467,Bonthe,SL,79.99,broken clouds,7.5264,-12.505,Bonthe Holiday Village
470,Zambezi,ZM,67.39,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
472,Cururupu,BR,78.75,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
474,Labuhan,ID,79.92,overcast clouds,-6.8844,112.2051,DoubleFAG
476,Russell,US,68.05,clear sky,32.3502,-85.1999,Macs
477,Namibe,AO,74.8,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
479,Bo Phloi,TH,82.31,light rain,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
481,Piacabucu,BR,82.6,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
483,Kramat,ID,74.8,heavy intensity rain,-8.1311,113.4499,Padepokan HM Arum Sabil
486,Patiala,IN,71.64,clear sky,30.3267,76.4003,Hotel Amar and Restaurant
491,Nosy Varika,MG,75.83,light rain,-20.5833,48.5333,Hotel Volazara
492,Kampong Chhnang,KH,84.51,broken clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
494,Hervey Bay,AU,68.02,light rain,-25.2986,152.8535,Shelly Bay Resort
500,Oussouye,SN,75.63,clear sky,12.485,-16.5469,Auberge du Routard
505,Ca Mau,VN,80.04,clear sky,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
508,Sydney,AU,66.7,broken clouds,-33.8679,151.2073,The Grace Sydney
510,Vao,NC,76.8,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
512,Sorong,ID,77.31,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
